店铺名称,店铺详情,店铺评分,评价人数,人均消费,店铺地址
茶百道（祝桥店）,https://www.meituan.com/meishi/1362914656/,4.8,35,16.0,祝桥
茶百道（闵行欧尚店）,https://www.meituan.com/meishi/1846266303/,4.7,28,15.0,老闵行/交大师大
茶百道（龙阳广场店）,https://www.meituan.com/meishi/1637756341/,4.5,71,16.0,世纪公园/科技馆
茶百道（宝山万达店）,https://www.meituan.com/meishi/1192417009/,4.3,27,16.0,庙行/共康
Jidong悸动奶茶烧仙草（南汇汽车站店）,https://www.meituan.com/meishi/50239972/,4.1,702,15.0,惠南镇
茶百道（徐汇绿地缤纷城店）,https://www.meituan.com/meishi/1501444277/,4.3,29,15.0,龙华/西岸
CoCo都可（新城万达店）,https://www.meituan.com/meishi/184309881/,4.4,804,12.0,嘉定新城
悸动烧仙草（锦绣华润万家店）,https://www.meituan.com/meishi/1401278804/,4.4,96,15.0,北蔡
娃哈哈奶茶（蓝村店）,https://www.meituan.com/meishi/636716590/,4.2,38,15.0,塘桥
沪上阿姨鲜果茶（西藏南二店）,https://www.meituan.com/meishi/765609120/,4.6,387,15.0,老西门/陆家浜路
悸动烧仙草（松江九新公路店）,https://www.meituan.com/meishi/1437263672/,4.5,122,15.0,九亭
CoCo都可（城中二店）,https://www.meituan.com/meishi/1601316/,4.2,530,12.0,嘉定镇
茶百道（沪亭北路店）,https://www.meituan.com/meishi/798750907/,4.6,24,15.0,九亭
CoCo都可（张江欧尚店）,https://www.meituan.com/meishi/1188589063/,4.2,142,13.0,张江
悸动烧仙草（青浦京华路店）,https://www.meituan.com/meishi/1478939549/,4.7,215,15.0,徐泾
7分甜（上海浦东啦啦宝都店）,https://www.meituan.com/meishi/1860942425/,4.3,172,18.0,金桥
茶百道（奉贤南桥店）,https://www.meituan.com/meishi/1613447888/,4.2,51,15.0,南桥
1点点（飞航广场店）,https://www.meituan.com/meishi/187082559/,4.4,0,17.0,飞航广场
CoCo都可（近铁广场店）,https://www.meituan.com/meishi/1743925655/,4.3,290,12.0,真北中环
张阿姨奶茶（八一路2店）,https://www.meituan.com/meishi/157800698/,4.6,1625,13.0,南门
蜜雪冰城·冰淇淋与茶（东门大街店）,https://www.meituan.com/meishi/80329733/,4.5,860,5.0,惠南镇
CoCo都可（机场镇沃尔玛店）,https://www.meituan.com/meishi/5307267/,4.4,517,13.0,浦东机场/机场镇
CoCo都可（青安路店）,https://www.meituan.com/meishi/165341627/,4.3,405,12.0,青浦城区
茶百道（惠南二店）,https://www.meituan.com/meishi/1142712131/,4.7,26,15.0,惠南镇
沪上阿姨鲜果茶（周浦万达店）,https://www.meituan.com/meishi/591027716/,4.5,144,15.0,康桥/周浦
CoCo都可（宝山万达金街店）,https://www.meituan.com/meishi/40710911/,4.1,556,13.0,庙行/共康
CoCo都可（新理想店）,https://www.meituan.com/meishi/83608852/,4.4,861,12.0,新理想广场
CoCo都可（瞿溪店）,https://www.meituan.com/meishi/1581415/,4.0,372,13.0,打浦桥/田子坊
茶百道（复旦软件园店）,https://www.meituan.com/meishi/1038497960/,4.6,42,16.0,平凉路/东外滩
茶百道（召楼星天地店）,https://www.meituan.com/meishi/1524040637/,4.7,24,15.0,浦江镇
茶百道（唐镇阳光天地店）,https://www.meituan.com/meishi/580858537/,4.7,24,15.0,唐镇
茶百道（大木桥路店）,https://www.meituan.com/meishi/855485470/,4.8,30,15.0,肇嘉浜路/中山医院
茶百道（东昌路店）,https://www.meituan.com/meishi/535619742/,4.8,18,16.0,陆家嘴
CoCo都可（吴泾宝龙店）,https://www.meituan.com/meishi/160148669/,4.2,292,12.0,吴泾镇
蜜雪冰城（昌里路店）,https://www.meituan.com/meishi/793213392/,4.2,379,7.0,上南地区
茶百道（环贸广场店）,https://www.meituan.com/meishi/729360182/,4.1,24,16.0,淮海路
